,# of Keypoints,Time(ms)
Shi-Tomasi ,1370,22.7936
Shi-Tomasi ,1301,20.2346
Shi-Tomasi ,1361,22.4203
Shi-Tomasi ,1358,14.1898
Shi-Tomasi ,1333,14.5625
Shi-Tomasi ,1284,14.9884
Shi-Tomasi ,1322,14.1135
Shi-Tomasi ,1366,13.9777
Shi-Tomasi ,1389,16.2458
Shi-Tomasi ,1339,14.1036
Harris ,492,17.418
Harris ,502,10.78
Harris ,516,9.62
Harris ,524,9.38
Harris ,523,9.148
Harris ,511,8.84731
Harris ,505,9.24443
Harris ,510,8.9
Harris ,529,8.87
Harris ,520,8.98
FAST ,5063,2.04
FAST ,4952,1.87
FAST ,4863,1.77
FAST ,4840,2.1
FAST ,4856,2.54
FAST ,4899,1.88
FAST ,4870,2.05
FAST ,4868,1.96
FAST ,4996,2.20043
FAST ,4997,2.08
BRISK ,2757,221.136
BRISK ,2777,54.1485
BRISK ,2741,207.591
BRISK ,2735,188.451
BRISK ,2757,224.268
BRISK ,2695,200.064
BRISK ,2715,226.476
BRISK ,2628,194.14
BRISK ,2639,222.679
BRISK ,2672,200.075
ORB ,500,63.2809
ORB ,500,8.89947
ORB ,500,6.37402
ORB ,500,7.93502
ORB ,500,9.52496
ORB ,500,7.64688
ORB ,500,10.5457
ORB ,500,9.83195
ORB ,500,8.10326
ORB ,500,9.30359
AKAZE ,1351,104.222
AKAZE ,1327,103.469
AKAZE ,1311,91.5333
AKAZE ,1351,92.0802
AKAZE ,1360,114.41
AKAZE ,1347,104.118
AKAZE ,1363,90.8064
AKAZE ,1331,89.8814
AKAZE ,1357,89.0438
AKAZE ,1331,98.3149
SIFT ,1437,178.293
SIFT ,1371,140.156
SIFT ,1380,192.854
SIFT ,1335,160.832
SIFT ,1303,156.665
SIFT ,1369,174.759
SIFT ,1396,158.889
SIFT ,1382,156.456
SIFT ,1463,160.257
SIFT ,1422,137.299
