Descriptors combination,Time
FAST-BRIEF:,0.00339893
FAST-ORB:,0.00499745
ORB-BRIEF:,0.0120047
HARRIS-BRIEF:,0.017496
HARRIS-ORB:,0.0202878
ORB-ORB:,0.0209242
SHITOMASI-BRIEF:,0.0240825
SHITOMASI-ORB:,0.0261126
FAST-FREAK:,0.0606877
ORB-FREAK:,0.0670334
HARRIS-FREAK:,0.074067
SHITOMASI-FREAK:,0.0745609
AKAZE-BRIEF:,0.110748
AKAZE-ORB:,0.119912
AKAZE-FREAK:,0.166581
SIFT-BRIEF:,0.19373
AKAZE-AKAZE:,0.201497
SIFT-FREAK:,0.246861
FAST-BRISK:,0.455582
ORB-BRISK:,0.46206
HARRIS-BRISK:,0.468443
SHITOMASI-BRISK:,0.48087
BRISK-BRIEF:,0.503373
BRISK-ORB:,0.509693
BRISK-FREAK:,0.559509
AKAZE-BRISK:,0.564802
SIFT-BRISK:,0.61479
BRISK-BRISK:,0.955101
